日期|+|XBANK事件工单|+|机构号|+|机构|+|归属模块|+|工单状态|+|COUNT(*)
2016-06-27|+|Xbank事件工单|+|C101|+|葫芦岛分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-27|+|Xbank事件工单|+|C901|+|日照分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|5
2016-06-28|+|Xbank事件工单|+|0100|+|北京管理部|+|销售作业系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0101|+|总行营业部|+|xBank2.0系统|+|已关闭|+|4
2016-06-28|+|Xbank事件工单|+|0118|+|北京朝阳门支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0122|+|北京亚运村支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0128|+|北京奥运村支行|+|老EUSP系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0137|+|北京西长安街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0140|+|北京建国门外支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0152|+|北京国奥支行|+|三方存管系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0158|+|北京光华支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|01EH|+|北京铁科院社区支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-28|+|Xbank事件工单|+|0200|+|上海分行|+|xBank2.0系统|+|已关闭|+|2
2016-06-28|+|Xbank事件工单|+|0210|+|上海市南支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0301|+|广州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0301|+|广州分行营业部|+|三方存管系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0330|+|东莞分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0502|+|武汉东湖支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0503|+|武汉新华支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-28|+|Xbank事件工单|+|0504|+|武汉三阳支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0531|+|武汉汉西支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0609|+|大连越秀支行|+|BPP系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0700|+|杭州分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0808|+|南京汉中路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0912|+|太原桃园南路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|0924|+|太原晋阳街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1000|+|石家庄分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1013|+|石家庄胜利北大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1107|+|重庆沙坪坝支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1109|+|重庆两路口支行|+|总行国库信息处理系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1118|+|重庆渝北支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-28|+|Xbank事件工单|+|1201|+|西安分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1202|+|西安文艺路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1207|+|西安长乐路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1208|+|西安西大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1209|+|西安经济开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1222|+|西安汉城路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1500|+|福州分行|+|新二代支付系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1519|+|福建自贸试验区福州片区支行|+|PE系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1606|+|济南历山支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1607|+|济南高新支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1704|+|汕头人民广场支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1802|+|深圳罗湖支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1810|+|深圳深南支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1827|+|深圳南海支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1905|+|宁波解放南路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|1920|+|宁波民安路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2003|+|成都永丰支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2011|+|成都骡马市支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2012|+|成都西体路支行|+|cbank系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2012|+|成都西体路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2016|+|成都双流支行|+|cbank系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2016|+|成都双流支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2017|+|成都金牛支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2200|+|昆明分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2800|+|温州分行|+|新二代支付系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2801|+|温州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2908|+|厦门湖里支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2909|+|厦门前埔支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|2909|+|厦门前埔支行|+|代收付系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|3009|+|郑州紫荆支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|3102|+|长沙香樟路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|3105|+|长沙高桥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|3109|+|长沙三湘南湖支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|3401|+|合肥分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-28|+|Xbank事件工单|+|3509|+|南昌县支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|3605|+|邯郸联纺路支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-28|+|Xbank事件工单|+|4104|+|潍坊寿光支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-28|+|Xbank事件工单|+|4307|+|洛阳偃师支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|4801|+|衡水分行营业部|+|新二代支付系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|4904|+|南通家纺支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|5001|+|襄阳营业部|+|村镇银行xBank2.0|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|6201|+|株洲支行营业部|+|总行国库信息处理系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|6301|+|宝鸡分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-28|+|Xbank事件工单|+|6401|+|呼和浩特分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|6500|+|沈阳分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|8302|+|济宁邹城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|A601|+|哈尔滨分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-28|+|Xbank事件工单|+|B501|+|泰安分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|7
2016-06-29|+|Xbank事件工单|+|0109|+|北京万寿路支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-29|+|Xbank事件工单|+|0125|+|北京苏州街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0129|+|北京三元支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0130|+|北京西单支行|+|总行国库信息处理系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0166|+|北京回龙观支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0167|+|北京西大望路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0202|+|上海浦东支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0226|+|上海丽园支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0232|+|上海普陀支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0240|+|上海古北支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0251|+|上海凯旋支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0251|+|上海凯旋支行|+|分行特色业务平台|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0260|+|上海同福支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0266|+|上海广灵支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-29|+|Xbank事件工单|+|0318|+|广州经济开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0331|+|佛山分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0339|+|东莞长安支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-29|+|Xbank事件工单|+|0406|+|财务支付|+|xBank2.0系统|+|已关闭|+|2
2016-06-29|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|0622|+|大连八一路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1000|+|石家庄分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1008|+|石家庄新华西路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1202|+|西安文艺路支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-29|+|Xbank事件工单|+|1204|+|西安和平路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1204|+|西安和平路支行|+|交易型理财产品销售系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1211|+|西安吉祥路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1216|+|西安科技路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1502|+|福州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1514|+|福州三坊七巷支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1819|+|深圳香蜜支行|+|BPP系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1821|+|深圳福民支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1826|+|深圳莲花支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1827|+|深圳南海支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1833|+|深圳沙井支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1837|+|深圳华强北支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|1906|+|宁波轻纺城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|2111|+|天津鼓楼支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|2212|+|昆明螺蛳湾支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|2600|+|苏州分行|+|xBank2.0系统|+|已关闭|+|2
2016-06-29|+|Xbank事件工单|+|2605|+|苏州常熟支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|2909|+|厦门前埔支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|3008|+|郑州建设路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|3014|+|郑州心怡路支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-29|+|Xbank事件工单|+|3305|+|长春红旗街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|3801|+|镇江支行营业部|+|(null)|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|3906|+|吕梁交城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|4104|+|潍坊寿光支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|4301|+|洛阳分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|4600|+|中山分行|+|PE系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|5002|+|襄阳襄城支行|+|电子同城系统(雁联同城平台)|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|5102|+|秦皇岛滨海城支行|+|银保通系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|5604|+|莆田秀屿支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|6101|+|宜昌分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|6401|+|呼和浩特分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|6406|+|呼和浩特兴安北路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|6501|+|沈阳分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|7801|+|上饶分行营业部|+|cbank系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|8301|+|济宁分行营业部|+|cbank系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|A401|+|张家口分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-29|+|Xbank事件工单|+|B301|+|宜宾分行营业部|+|(null)|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|C000|+|银川分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|C000|+|银川分行|+|网银互联系统|+|已关闭|+|1
2016-06-29|+|Xbank事件工单|+|C701|+|西宁分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|29
2016-06-30|+|Xbank事件工单|+|0100|+|北京管理部|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0101|+|总行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0110|+|北京上地支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0126|+|北京和平里支行|+|银保通系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0135|+|北京首都机场支行|+|cbank系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0138|+|北京空港支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|0145|+|环保园支行|+|cbank系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0152|+|北京国奥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0163|+|北京昌平支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0203|+|上海市西支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0243|+|上海吴中支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0246|+|上海广场支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|0251|+|上海凯旋支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|0268|+|上海川沙支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0300|+|广州分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0314|+|广州番禺支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0318|+|广州经济开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0341|+|广州站前路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0500|+|武汉分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0500|+|武汉分行|+|(null)|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0514|+|武汉沌口支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0516|+|武汉青年支行|+|cbank系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0516|+|武汉青年支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|0525|+|武汉吴家山开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0526|+|武汉东湖开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0528|+|武汉光谷高科技支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0607|+|大连胜利桥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|0615|+|大连瓦房店支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0626|+|大连西安路支行|+|信用卡发卡系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0709|+|杭州湖墅支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0718|+|绍兴分行营业部|+|xBank2.0系统|+|已关闭|+|3
2016-06-30|+|Xbank事件工单|+|0718|+|绍兴分行营业部|+|验印系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0720|+|杭州城北支行|+|cbank系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0919|+|太原分行清徐支行|+|NPS系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|0921|+|太原体育南路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1000|+|石家庄分行|+|xBank2.0系统|+|已关闭|+|3
2016-06-30|+|Xbank事件工单|+|1002|+|石家庄中山东路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1014|+|石家庄联盟路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1104|+|重庆江北支行|+|验印系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1122|+|重庆马家岩支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1124|+|重庆北碚支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1200|+|西安分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1201|+|西安分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1211|+|西安吉祥路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1212|+|西安分行雁塔路支行|+|网络交易平台资金托管系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1220|+|西安胡家庙小微企业专营支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1221|+|西安曲江支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1303|+|贵阳新华路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1500|+|福州分行|+|新二代支付系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1705|+|汕头华山路支行|+|cbank系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1809|+|深圳南山支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1813|+|深圳彩田支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1814|+|深圳黄金珠宝支行|+|BPP系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1819|+|深圳香蜜支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1831|+|深圳龙华支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|1832|+|深圳景田支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|1833|+|深圳沙井支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|2005|+|成都清江支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|2009|+|九眼桥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|2122|+|天津自由贸易试验区分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|2205|+|昆明分行民生街支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|2308|+|泉州石狮支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|2310|+|泉州安海支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|2700|+|青岛分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|2705|+|烟台分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|2808|+|温州乐清支行|+|新网银系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|2901|+|厦门分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|2906|+|厦门东浦支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|3101|+|长沙分行营业部|+|xBank2.0系统|+|已关闭|+|3
2016-06-30|+|Xbank事件工单|+|3203|+|江阴支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|3308|+|临河街支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|3334|+|延边分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|3500|+|南昌分行|+|xBank2.0系统|+|已关闭|+|3
2016-06-30|+|Xbank事件工单|+|3500|+|南昌分行|+|智能签章与集中审计系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|3605|+|邯郸联纺路支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-30|+|Xbank事件工单|+|4100|+|潍坊分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|4202|+|NetCool监控|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|4302|+|洛阳分行南昌路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|4602|+|中山古镇支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|5510|+|南宁金湖支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|5905|+|东营东城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|7004|+|许昌许由路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|7801|+|上饶分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|A001|+|拉萨分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|A802|+|兰州七里河支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-30|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-01|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|15
2016-07-01|+|Xbank事件工单|+|0105|+|北京中关村支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-01|+|Xbank事件工单|+|0111|+|北京西客站支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-01|+|Xbank事件工单|+|0125|+|北京苏州街支行|+|银商直通车系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0136|+|北京西二环支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0138|+|北京空港支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-01|+|Xbank事件工单|+|0139|+|北京南二环支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0152|+|北京国奥支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0209|+|上海外滩支行|+|交易型理财产品销售系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0233|+|上海延平支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0238|+|上海分行宝山支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0256|+|上海新泾支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0257|+|上海武宁支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0301|+|广州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0503|+|武汉新华支行|+|银保通系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0514|+|武汉沌口支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-01|+|Xbank事件工单|+|0515|+|武汉武昌支行|+|xBank2.0系统|+|已关闭|+|1
