日期|+|XBANK事件工单|+|机构号|+|机构|+|归属模块|+|工单状态|+|COUNT(*)
2016-06-02|+|Xbank事件工单|+|6700|+|珠海分行会计业务处理中心|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|7905|+|临沂临沭支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|8903|+|东莞常平支行|+|乐收银综合商务平台|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|8906|+|东莞东城支行|+|银保通系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|A802|+|兰州七里河支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-02|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-02|+|Xbank事件工单|+|B301|+|宜宾分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|8
2016-06-03|+|Xbank事件工单|+|0101|+|总行营业部|+|xBank2.0系统|+|已关闭|+|3
2016-06-03|+|Xbank事件工单|+|0110|+|北京上地支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0120|+|北京紫竹支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0137|+|北京西长安街支行|+|三方存管系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0163|+|北京昌平支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-03|+|Xbank事件工单|+|0181|+|北京天通苑支行|+|贵金属延期交易系统(黄金T+D)|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0265|+|上海中原支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0269|+|上海淮海支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-03|+|Xbank事件工单|+|0300|+|广州分行|+|乐收银综合商务平台|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0312|+|广州越秀支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0319|+|广州羊城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0321|+|广州海珠支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-03|+|Xbank事件工单|+|0719|+|杭州城西支行|+|NPS系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0729|+|杭州建德支行|+|代收付系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0803|+|南京上海路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0804|+|南京新街口支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0814|+|南京大明路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0901|+|太原五一路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0903|+|太原迎泽支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|0904|+|太原北大街支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-03|+|Xbank事件工单|+|0912|+|太原桃园南路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1003|+|石家庄维明大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1011|+|石家庄广安大街支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-03|+|Xbank事件工单|+|1017|+|石家庄平安南大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1108|+|重庆加州支行|+|总行国库信息处理系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1117|+|重庆大学城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1119|+|重庆九龙园区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1202|+|西安文艺路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1203|+|西安高新开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1217|+|西安锦业路支行|+|PE系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1502|+|福州分行营业部|+|NPS系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1600|+|济南分行|+|(null)|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1606|+|济南历山支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1610|+|济南大观园支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1801|+|深圳分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1806|+|深圳福田支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1809|+|深圳南山支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1818|+|深圳盐田支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1819|+|深圳香蜜支行|+|PE系统|+|已关闭|+|1
