日期|+|变更类型|+|应用系统|+|工单状态|+|COUNT(*)
2016-06-17|+|常规变更|+|实物黄金销售业务系统|+|待归档|+|1
2016-06-12|+|常规变更|+|代理业务平台|+|已关闭|+|1
2016-06-15|+|常规变更|+|实物黄金销售业务系统|+|任务分解|+|1
2016-06-07|+|常规变更|+|零售贷款系统|+|已关闭|+|1
2016-06-21|+|常规变更|+|商学院教学系统服务|+|已关闭|+|1
2016-06-27|+|常规变更|+|在线融资系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|数据生命周期管理|+|任务实施|+|1
2016-06-27|+|常规变更|+|金卡系统|+|变更审批|+|1
2016-06-29|+|紧急变更|+|在线融资系统|+|变更审批|+|1
2016-06-20|+|常规变更|+|移动办公系统|+|变更初审|+|1
2016-07-05|+|常规变更|+|(null)|+|已关闭|+|1
2016-07-06|+|常规变更|+|基础公共硬件服务|+|任务实施|+|1
2016-07-01|+|常规变更|+|(null)|+|草稿|+|1
2016-06-13|+|常规变更|+|e支付系统|+|待归档|+|1
2016-06-08|+|常规变更|+|信息科技风险指标管理平台|+|待归档|+|1
2016-06-14|+|紧急变更|+|新短信平台|+|待归档|+|1
2016-06-23|+|常规变更|+|NPS系统|+|已关闭|+|1
2016-06-22|+|常规变更|+|实物黄金销售业务系统|+|已关闭|+|1
2016-06-22|+|紧急变更|+|ATM系统|+|已关闭|+|1
2016-06-29|+|紧急变更|+|新风控系统|+|变更审批|+|1
2016-06-24|+|常规变更|+|零售及小微决策分析系统|+|任务实施|+|1
