2016-09-14|+|常规修改|+|零售贷款系统|+|交易数据维护|+|组织审批|+|程序缺陷|+|1
2016-09-08|+|常规修改|+|网络交易平台资金托管系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-20|+|常规修改|+|零售贷款系统|+|交易数据维护|+|运维中心审批|+|程序缺陷|+|1
2016-09-29|+|常规修改|+|代理业务平台|+|交易数据维护|+|开发中心处理|+|业务需求不完善|+|1
2016-09-09|+|紧急修改|+|集中运营业务处理系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-23|+|常规修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-21|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|新增业务需求|+|2
2016-09-29|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|2
2016-09-01|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|程序缺陷|+|1
2016-09-07|+|常规修改|+|BPM系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-20|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|数据修改实施|+|程序缺陷|+|2
2016-09-05|+|常规修改|+|零售贷款系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-09-08|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|3
2016-09-14|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-21|+|常规修改|+|总行国库信息处理系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-09-21|+|常规修改|+|(null)|+|交易数据维护|+|业务审批确认|+|(null)|+|1
2016-09-30|+|常规修改|+|财务报账系统|+|交易数据维护|+|运维中心处理|+|柜员操作失误|+|1
2016-09-28|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|2
2016-09-13|+|常规修改|+|总行国库信息处理系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-09-01|+|紧急修改|+|村镇银行ATM系统|+|配置参数维护|+|已关闭|+|程序缺陷|+|1
2016-09-21|+|常规修改|+|对公贷款系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-09-30|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|1
2016-09-02|+|常规修改|+|BPP系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-09-02|+|常规修改|+|新风控系统|+|交易数据维护|+|运维中心审批|+|历史数据问题|+|2
2016-09-05|+|常规修改|+|(null)|+|交易数据维护|+|业务审批确认|+|(null)|+|1
2016-09-29|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-29|+|常规修改|+|新网银系统|+|交易数据维护|+|开发中心处理|+|新增业务需求|+|1
2016-09-08|+|常规修改|+|直销银行系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-30|+|紧急修改|+|BPP系统|+|交易数据维护|+|组织审批|+|业务需求不完善|+|1
